YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,TS,WS2M,CLRSKY_SFC_SW_DWN,PS,WS10M
2015,3,19,11.17,61.25,0.0,25.2,26.19,2.05,6.46,101.22,3.16
2015,3,20,10.68,56.56,0.03,25.49,26.55,3.55,6.23,100.89,5.22
2015,3,21,5.31,46.31,0.0,17.37,18.82,3.84,6.59,101.71,5.55
2015,3,22,6.59,58.31,0.0,17.21,19.03,2.31,6.46,101.87,3.37
2015,3,23,7.63,65.62,0.0,17.14,17.86,1.09,6.2,101.94,1.78
2015,3,24,8.42,71.19,1.78,17.5,18.02,1.53,5.84,101.92,2.32
2015,3,25,8.36,68.38,1.9,17.91,18.71,2.45,5.65,101.74,3.62
2015,3,26,7.08,62.75,0.0,17.11,18.17,2.4,6.27,101.73,3.58
2015,3,27,7.63,64.19,0.0,18.15,19.53,1.26,6.17,101.88,2.12
2015,3,28,7.87,64.25,0.02,18.87,19.87,1.25,6.07,101.8,2.15
2015,3,29,8.48,60.31,0.01,21.08,21.37,1.41,5.91,101.3,2.26
2015,3,30,9.03,58.31,0.0,22.12,22.86,1.66,5.7,101.01,2.52
2015,3,31,7.45,55.94,0.0,19.8,20.42,2.69,5.85,101.35,3.98
2015,4,1,7.81,60.44,0.0,20.06,20.55,2.45,5.89,101.32,3.88
2015,4,2,7.57,52.62,0.0,21.56,21.92,2.68,5.85,101.06,4.18
2015,4,3,10.38,59.88,1.16,23.6,23.98,2.82,5.5,100.67,4.35
2015,4,4,12.15,76.31,4.22,21.8,22.56,2.39,5.33,100.75,3.48
2015,4,5,8.12,59.81,0.0,20.08,20.65,3.81,5.54,101.47,5.55
2015,4,6,6.77,64.31,0.0,15.91,17.26,2.38,5.66,102.04,3.51
2015,4,7,8.54,69.25,0.0,18.55,19.12,2.57,5.38,101.59,3.86
2015,4,8,8.61,65.06,0.0,19.94,20.51,1.87,5.25,101.36,2.99
2015,4,9,8.42,58.5,0.0,21.69,21.87,1.3,5.31,101.43,2.23
2015,4,10,9.58,58.38,0.21,22.98,23.06,1.89,4.92,101.49,3.1
2015,4,11,11.17,78.88,5.79,19.89,20.34,3.62,4.92,101.65,5.25
2015,4,12,10.25,67.56,0.0,21.1,21.72,2.8,5.04,101.51,4.09
2015,4,13,11.05,66.0,0.01,23.15,23.26,3.05,4.88,101.16,4.57
2015,4,14,11.41,71.31,0.1,22.32,22.88,2.26,4.74,101.12,3.33
2015,4,15,11.6,79.06,0.47,20.4,20.86,4.44,4.69,101.49,6.39
2015,4,16,10.5,69.19,0.35,21.16,21.54,4.63,4.66,101.38,6.71
2015,4,17,7.87,67.38,29.46,16.85,17.25,4.43,4.93,101.09,6.41
2015,4,18,6.35,61.81,0.0,15.77,15.96,2.87,5.02,100.99,4.38
2015,4,19,8.73,70.06,0.0,17.98,18.33,2.88,4.85,100.65,4.31
2015,4,20,6.9,62.56,0.0,16.93,17.21,2.52,4.84,101.21,3.73
2015,4,21,6.59,66.88,0.0,15.24,15.83,1.36,4.92,101.78,2.29
2015,4,22,6.29,57.81,0.0,16.61,16.19,1.06,4.84,101.9,1.77
2015,4,23,6.96,62.0,0.0,17.4,16.22,1.6,4.81,101.74,2.51
2015,4,24,7.81,66.25,0.0,17.76,17.3,1.95,4.64,101.77,3.3
2015,4,25,8.91,67.31,0.0,19.72,19.21,1.98,4.42,101.69,3.29
2015,4,26,8.36,61.19,0.0,20.34,20.26,1.95,4.39,101.56,3.09
2015,4,27,9.58,69.75,0.0,19.7,19.66,1.67,4.27,101.6,2.6
2015,4,28,10.01,75.81,0.03,18.95,19.49,4.73,4.21,101.85,6.8
2015,4,29,9.64,82.94,16.62,16.64,16.74,4.73,3.86,101.77,6.85
2015,4,30,10.07,81.0,1.7,17.94,18.12,2.42,4.11,101.59,3.59
2015,5,1,9.77,79.81,2.46,17.44,17.33,2.68,3.89,101.14,3.99
2015,5,2,9.28,80.94,20.67,15.84,15.76,4.82,3.72,100.29,7.02
2015,5,3,4.33,65.62,0.0,8.99,9.5,3.48,4.47,101.03,5.2
2015,5,4,5.8,76.25,0.0,10.73,10.91,2.26,4.26,101.39,3.63
2015,5,5,6.41,70.88,0.0,13.55,12.7,1.29,4.12,101.68,2.16
2015,5,6,5.98,75.44,0.01,11.15,11.37,3.16,4.17,102.2,4.81
2015,5,7,5.62,76.12,0.0,10.3,10.57,1.98,4.26,102.28,3.29
2015,5,8,6.65,76.44,0.0,12.71,12.58,1.93,3.95,101.73,3.15
2015,5,9,7.26,76.38,0.0,14.01,13.59,1.34,3.84,101.56,2.25
2015,5,10,8.0,81.5,3.15,14.24,14.12,2.62,3.77,101.94,4.09
2015,5,11,8.91,86.25,0.21,14.48,14.42,2.09,3.76,102.15,3.39
2015,5,12,8.42,79.38,0.0,15.72,15.69,2.65,3.77,102.08,4.07
2015,5,13,8.97,83.56,0.0,15.59,15.62,2.36,3.6,101.84,3.61
2015,5,14,9.83,82.94,0.0,17.11,16.97,1.52,3.6,101.54,2.58
2015,5,15,10.74,83.75,0.0,18.33,18.15,1.71,3.49,101.43,2.84
2015,5,16,11.66,83.69,0.0,19.65,19.45,2.12,3.49,101.54,3.39
2015,5,17,12.63,85.75,0.01,20.49,20.42,2.41,3.47,101.61,3.71
2015,5,18,12.94,85.56,1.11,20.87,20.62,1.97,3.34,101.85,3.23
2015,5,19,13.37,87.19,4.11,21.17,20.9,1.91,3.28,101.83,3.05
2015,5,20,11.41,79.88,0.0,20.31,20.12,2.88,3.39,101.48,4.34
2015,5,21,11.6,79.75,0.0,20.45,20.17,3.4,3.43,101.24,5.18
2015,5,22,12.7,82.12,3.44,21.28,20.97,1.94,3.1,101.04,3.0
2015,5,23,10.07,85.12,1.24,16.64,16.48,3.39,3.05,100.78,5.03
2015,5,24,5.43,67.81,0.01,11.59,11.8,2.18,3.47,101.69,3.3
2015,5,25,5.13,59.44,0.0,12.34,10.93,1.34,3.54,101.83,2.02
2015,5,26,7.02,83.31,6.11,11.68,10.97,1.76,3.28,102.07,2.76
2015,5,27,7.39,81.75,0.05,12.98,12.94,1.84,3.27,102.13,3.06
2015,5,28,7.69,83.69,0.0,12.54,12.43,1.79,3.37,101.9,3.02
2015,5,29,7.45,92.19,0.02,10.76,10.45,1.86,3.37,101.5,3.16
2015,5,30,7.75,84.81,0.21,12.82,12.31,1.23,3.19,101.29,1.98
2015,5,31,7.02,77.5,0.0,13.23,12.88,1.69,3.18,101.64,2.76
2015,6,1,7.81,84.56,0.0,13.1,12.7,2.3,3.06,101.68,3.81
2015,6,2,7.81,81.75,0.0,13.69,13.53,2.96,3.1,101.19,4.53
2015,6,3,7.45,75.38,0.0,14.55,14.04,2.89,3.09,101.09,4.49
2015,6,4,7.02,77.44,0.0,12.94,11.98,1.77,3.27,101.58,3.02
2015,6,5,13.06,90.19,0.0,19.75,19.3,2.62,2.69,100.67,4.16
2015,6,6,11.05,82.19,0.22,18.29,17.86,2.31,2.78,100.45,3.57
2015,6,7,5.8,64.69,0.0,13.35,12.87,2.05,3.17,101.42,3.42
2015,6,8,5.92,71.81,0.0,12.08,11.95,2.23,3.12,101.37,3.59
2015,6,9,8.12,85.19,0.27,13.48,13.57,1.94,2.8,100.98,3.12
2015,6,10,5.0,65.94,0.02,10.85,10.99,2.8,3.23,101.37,4.26
2015,6,11,3.91,63.12,0.0,7.83,7.64,3.12,3.31,101.8,4.84
2015,6,12,4.21,69.81,0.0,7.56,7.26,2.48,3.34,101.61,4.06
2015,6,13,5.55,76.19,0.66,9.55,9.55,2.22,2.97,101.03,3.55
2015,6,14,4.52,70.31,0.25,8.33,8.47,4.25,3.24,101.06,6.21
2015,6,15,4.09,68.25,0.0,7.23,7.31,3.65,3.2,101.39,5.41
2015,6,16,4.7,65.81,0.0,10.05,9.62,3.45,3.18,101.01,5.29
2015,6,17,4.82,73.12,0.0,8.4,8.48,3.44,3.07,101.62,5.12
2015,6,18,2.99,64.38,0.0,4.04,3.6,2.4,3.28,102.92,3.52
2015,6,19,3.17,63.56,0.0,4.76,4.17,3.09,3.24,102.52,4.73
2015,6,20,4.58,79.56,0.0,6.44,6.3,2.84,3.07,101.72,4.44
2015,6,21,5.13,84.31,11.08,6.95,6.66,1.61,3.18,101.73,2.7
2015,6,22,3.97,69.88,0.0,6.5,6.55,2.95,3.13,102.26,4.45
2015,6,23,3.91,81.81,0.0,3.69,4.01,1.97,3.27,103.04,3.21
2015,6,24,5.13,80.88,0.0,7.44,7.37,3.45,3.22,102.63,5.2
2015,6,25,8.67,88.81,0.08,13.65,13.47,2.95,2.61,102.21,4.44
2015,6,26,9.83,88.69,0.5,15.75,15.27,1.66,2.73,102.19,2.74
2015,6,27,10.86,93.94,3.6,16.44,15.91,1.73,2.47,101.84,2.91
2015,6,28,11.23,96.06,29.74,16.59,15.51,1.41,2.53,101.25,2.18
2015,6,29,9.09,92.31,9.14,13.83,13.32,1.26,2.52,100.9,2.2
2015,6,30,6.29,82.62,0.01,10.44,10.33,2.72,3.08,101.18,4.16
2015,7,1,6.35,85.62,0.0,9.83,10.33,2.23,3.09,102.01,3.27
2015,7,2,6.65,86.12,0.06,10.48,10.33,2.27,2.93,101.54,3.59
2015,7,3,5.68,84.81,0.43,8.28,8.58,4.59,3.14,101.6,6.59
2015,7,4,4.27,82.94,0.29,4.8,5.69,1.84,3.29,102.25,2.75
2015,7,5,4.94,81.19,0.16,6.96,7.07,3.49,3.29,101.69,5.18
2015,7,6,5.62,78.19,0.0,9.7,9.22,1.53,3.19,101.52,2.48
2015,7,7,5.19,70.56,0.01,10.26,7.98,1.07,3.29,101.93,1.64
2015,7,8,5.74,82.5,0.0,8.63,7.94,2.16,3.32,101.6,3.58
2015,7,9,7.2,86.75,0.0,11.21,11.03,1.84,3.01,101.2,2.87
2015,7,10,7.69,88.44,0.14,12.2,12.1,1.61,2.94,101.47,2.46
2015,7,11,7.69,88.06,0.01,12.16,11.97,2.29,2.93,101.32,3.48
2015,7,12,9.83,93.38,2.62,14.84,14.48,2.12,2.6,100.27,3.25
2015,7,13,5.98,84.12,3.22,8.72,8.68,2.95,3.29,100.63,4.34
2015,7,14,3.78,70.44,0.0,5.93,6.16,3.13,3.48,101.68,4.64
2015,7,15,3.6,65.19,0.0,6.29,5.65,1.88,3.48,102.28,2.99
2015,7,16,4.21,67.31,0.0,7.9,7.63,1.75,3.4,102.38,2.93
2015,7,17,5.37,81.25,0.0,8.39,7.93,2.34,3.41,102.05,3.74
2015,7,18,6.65,83.88,0.0,10.77,10.49,2.66,3.15,101.41,4.07
2015,7,19,6.16,76.88,0.0,10.95,11.09,2.83,3.18,101.21,4.18
2015,7,20,4.52,77.19,0.0,6.65,7.13,3.37,3.59,102.37,4.91
2015,7,21,3.85,73.31,0.0,5.61,5.09,1.41,3.65,102.4,2.26
2015,7,22,4.03,67.38,0.0,7.58,6.89,1.75,3.65,102.2,2.88
2015,7,23,4.46,68.69,0.0,8.15,6.56,1.09,3.49,102.29,1.79
2015,7,24,6.04,84.0,0.01,9.55,8.11,1.29,3.57,102.31,2.05
2015,7,25,7.51,84.12,0.0,12.02,11.64,2.5,3.37,102.14,4.0
2015,7,26,7.39,79.94,0.0,13.19,12.98,3.57,3.56,101.72,5.29
2015,7,27,7.87,79.69,0.0,14.35,14.08,3.8,3.47,101.12,5.59
2015,7,28,11.11,83.25,0.13,18.57,18.27,3.1,3.16,100.8,4.66
2015,7,29,7.93,79.31,0.03,14.66,14.62,2.78,3.26,101.55,4.16
2015,7,30,10.38,88.5,26.74,16.16,15.84,4.66,3.18,101.21,6.75
2015,7,31,9.28,87.25,22.4,14.77,14.32,3.95,3.36,100.79,5.84
2015,8,1,6.47,74.69,2.35,12.36,12.26,2.22,3.76,101.29,3.43
2015,8,2,8.42,83.19,0.81,14.51,14.3,1.96,3.08,100.68,3.0
2015,8,3,5.8,68.81,0.0,12.48,12.26,2.21,3.97,101.57,3.55
2015,8,4,6.04,73.62,0.0,11.83,11.61,3.66,3.9,101.76,5.44
2015,8,5,8.79,88.94,60.6,13.73,13.57,4.17,3.44,100.93,6.1
2015,8,6,13.43,94.19,30.89,19.36,18.88,2.44,3.46,99.64,3.79
2015,8,7,10.31,86.62,3.09,16.82,16.54,3.86,3.55,100.34,5.62
2015,8,8,10.38,91.25,3.54,15.76,15.62,3.27,3.22,100.61,4.8
2015,8,9,10.5,93.5,31.36,15.8,15.62,2.66,3.12,100.24,3.87
2015,8,10,7.14,87.19,31.51,11.17,11.09,4.01,3.91,101.2,5.83
2015,8,11,7.26,85.25,0.08,11.97,12.03,2.12,3.92,102.09,3.27
2015,8,12,6.9,90.06,4.98,10.15,10.03,5.09,3.75,102.0,7.34
2015,8,13,7.57,89.69,12.75,11.66,11.73,5.03,4.04,101.64,7.19
2015,8,14,6.47,91.75,2.2,9.08,9.53,2.04,4.08,101.6,2.95
2015,8,15,5.55,74.44,0.6,10.42,10.15,1.78,4.44,101.71,2.55
2015,8,16,5.92,78.94,0.0,10.19,9.37,1.56,4.37,102.2,2.57
2015,8,17,7.93,88.25,0.66,12.49,12.62,1.23,3.16,101.37,2.08
2015,8,18,7.08,80.25,0.0,12.75,12.58,2.65,4.41,101.34,4.1
2015,8,19,6.16,81.19,0.0,10.44,11.0,3.05,4.59,102.14,4.39
2015,8,20,6.77,83.5,0.0,11.28,11.44,2.46,4.54,102.26,3.69
2015,8,21,7.51,82.38,0.0,12.93,12.94,2.57,4.47,101.38,4.0
2015,8,22,7.45,77.31,0.0,13.26,12.93,3.7,4.42,100.69,5.53
2015,8,23,5.0,73.44,0.0,8.88,9.27,3.81,4.86,101.85,5.58
2015,8,24,5.25,76.94,0.0,9.14,9.69,2.06,4.85,102.01,3.22
2015,8,25,6.96,79.88,0.0,12.27,12.18,3.24,4.82,101.24,4.84
2015,8,26,9.09,86.44,6.0,15.07,14.86,2.29,4.62,100.9,3.52
2015,8,27,5.8,70.31,0.0,11.97,11.69,3.08,5.02,101.45,4.59
2015,8,28,7.57,71.81,0.0,15.27,14.73,3.66,4.73,101.08,5.59
2015,8,29,9.64,82.75,0.0,16.48,16.22,1.8,4.65,100.79,2.96
2015,8,30,8.79,76.56,0.0,16.82,16.62,3.45,4.42,101.08,5.16
2015,8,31,8.36,72.94,0.0,16.29,16.48,5.1,4.9,101.55,7.34
2015,9,1,4.39,68.44,0.0,8.55,9.41,4.01,5.43,102.84,5.73
2015,9,2,5.98,74.25,0.0,11.39,11.94,1.96,5.01,102.25,2.95
2015,9,3,5.62,70.31,0.0,11.46,11.23,1.65,5.36,102.12,2.53
2015,9,4,5.19,65.44,0.0,11.84,11.19,1.63,5.51,102.11,2.62
2015,9,5,5.25,60.19,0.0,13.05,12.1,1.43,5.53,102.03,2.29
2015,9,6,6.23,69.94,0.0,13.3,13.34,2.79,5.65,101.43,4.3
2015,9,7,7.69,81.44,0.04,13.4,13.15,2.09,5.16,100.78,3.18
2015,9,8,6.96,71.88,0.01,14.39,14.4,2.31,5.62,100.72,3.68
2015,9,9,5.55,81.31,20.49,8.64,8.95,2.52,5.32,101.11,3.71
2015,9,10,4.03,64.19,0.02,8.58,9.35,3.15,5.99,101.34,4.52
2015,9,11,3.23,61.12,0.0,5.98,6.8,3.73,5.89,101.78,5.52
2015,9,12,4.46,65.0,0.0,9.55,9.41,2.09,5.89,101.84,3.18
2015,9,13,5.19,62.62,0.0,12.24,11.16,2.75,5.96,101.62,4.23
2015,9,14,6.71,65.12,0.0,15.16,14.3,3.45,5.77,101.09,5.28
2015,9,15,7.39,66.56,0.0,16.08,15.9,3.36,5.76,100.45,5.0
2015,9,16,5.07,61.88,0.0,12.08,12.41,3.25,6.1,101.13,4.8
2015,9,17,5.19,62.5,0.0,12.55,12.44,1.19,6.12,101.37,2.01
2015,9,18,5.92,64.75,0.0,13.49,12.98,2.27,6.13,101.77,3.31
2015,9,19,6.23,65.06,0.0,14.51,14.68,2.8,6.12,101.73,4.21
2015,9,20,7.32,75.5,0.0,14.17,14.13,4.06,6.02,101.53,6.05
2015,9,21,7.69,74.88,0.55,14.81,14.98,5.16,5.49,101.24,7.46
2015,9,22,7.93,85.31,2.44,13.17,13.4,5.62,5.87,101.33,8.12
2015,9,23,8.91,89.19,5.56,14.12,14.23,4.59,5.87,100.8,6.63
2015,9,24,8.18,85.69,3.03,13.55,13.9,4.77,6.08,100.97,6.85
2015,9,25,7.63,81.75,0.29,13.44,14.26,2.4,6.19,101.61,3.45
2015,9,26,7.57,76.81,0.0,14.44,15.3,1.05,6.24,101.67,1.66
2015,9,27,7.14,68.25,0.0,15.76,15.3,1.62,6.48,101.38,2.5
2015,9,28,8.12,78.88,1.96,14.52,14.3,3.49,6.3,100.77,5.23
2015,9,29,5.13,61.56,0.0,12.44,12.98,3.54,6.82,101.16,5.23
2015,9,30,5.62,66.94,0.0,12.44,13.4,1.6,6.84,101.5,2.59
2015,10,1,7.81,76.38,11.9,14.68,14.7,2.99,6.57,101.11,4.46
2015,10,2,6.9,78.94,21.26,12.16,12.53,4.88,6.54,101.4,7.05
2015,10,3,4.46,70.5,0.0,8.26,9.47,2.83,7.24,102.06,4.19
2015,10,4,6.65,79.56,0.0,11.72,12.57,3.05,6.86,101.97,4.44
2015,10,5,8.24,80.81,0.13,14.69,14.76,2.66,6.78,101.44,4.0
2015,10,6,9.58,85.19,2.06,16.15,16.68,3.3,6.39,100.95,4.82
2015,10,7,6.77,72.0,1.21,13.74,14.21,4.58,6.98,101.16,6.69
2015,10,8,5.68,62.06,0.0,14.01,14.32,3.74,7.28,101.53,5.54
2015,10,9,5.49,65.5,0.0,12.28,13.16,4.56,7.2,102.32,6.53
2015,10,10,5.8,72.19,0.0,11.5,12.53,4.09,7.27,102.77,5.82
2015,10,11,6.65,80.5,0.54,11.73,12.61,3.15,7.01,102.5,4.55
2015,10,12,6.59,75.25,0.14,12.69,13.58,1.5,7.24,101.79,2.37
2015,10,13,7.45,74.75,0.0,14.8,15.04,2.76,7.15,101.29,4.2
2015,10,14,9.7,85.12,9.57,16.26,16.27,2.93,6.97,100.32,4.42
2015,10,15,7.51,75.69,1.99,14.33,14.84,4.98,7.26,100.58,7.3
2015,10,16,5.37,68.56,0.0,11.48,12.47,3.13,7.78,101.96,4.61
2015,10,17,5.07,66.38,0.0,11.24,12.23,2.52,7.93,102.6,3.82
2015,10,18,5.8,65.31,0.0,13.34,14.02,2.5,7.84,102.04,3.84
2015,10,19,8.54,81.12,12.92,14.98,15.13,2.25,6.77,100.83,3.35
2015,10,20,9.16,77.5,1.56,17.09,16.98,2.65,7.46,100.53,3.88
2015,10,21,9.46,77.88,0.0,17.51,17.7,0.97,7.47,100.93,1.68
2015,10,22,8.85,73.12,0.08,17.76,18.27,2.6,7.31,101.36,3.89
2015,10,23,5.07,61.25,0.01,12.3,13.62,3.29,7.98,102.19,4.77
2015,10,24,6.23,68.12,0.0,13.21,14.37,4.21,7.48,102.21,5.98
2015,10,25,8.06,73.88,0.0,15.94,16.68,3.66,7.32,101.71,5.3
2015,10,26,10.31,78.88,0.47,18.66,19.33,2.35,7.54,101.48,3.53
2015,10,27,10.68,79.56,1.17,19.31,20.2,2.27,7.72,101.67,3.38
2015,10,28,10.99,73.75,0.0,20.97,21.23,3.37,7.63,101.42,5.03
2015,10,29,12.45,89.38,12.93,19.45,19.65,2.66,7.06,101.19,3.93
2015,10,30,8.3,74.06,0.25,16.19,16.87,4.07,7.98,101.43,5.86
2015,10,31,6.04,63.38,0.0,14.39,15.33,3.54,8.32,101.94,5.09
2015,11,1,5.86,59.44,0.0,15.06,15.38,3.07,8.28,102.07,4.62
2015,11,2,6.47,65.62,0.0,14.8,15.21,2.54,8.14,101.69,3.9
2015,11,3,8.85,71.88,0.0,18.22,18.72,2.66,7.86,101.6,3.92
2015,11,4,6.59,63.88,0.0,15.9,16.54,3.56,8.57,102.07,5.23
2015,11,5,5.92,50.31,0.0,18.14,18.24,1.4,8.56,101.9,2.09
2015,11,6,7.08,50.56,0.0,20.48,20.73,0.88,8.27,101.85,1.41
2015,11,7,8.61,61.38,0.0,21.05,22.19,2.15,8.33,101.5,3.24
2015,11,8,9.7,61.94,0.0,22.33,23.15,2.29,8.2,101.01,3.43
2015,11,9,11.41,69.5,1.63,22.95,23.81,2.85,7.94,100.85,4.14
2015,11,10,12.15,81.31,12.1,20.64,20.73,2.81,7.85,101.23,4.22
2015,11,11,8.24,58.56,0.0,21.19,21.68,2.64,8.72,101.36,3.95
2015,11,12,9.95,67.31,45.73,21.08,21.4,3.97,8.04,100.49,5.84
2015,11,13,9.83,75.56,7.69,18.77,19.24,4.29,8.42,100.39,6.3
2015,11,14,10.93,70.44,0.0,21.72,21.7,1.27,8.53,101.01,1.94
2015,11,15,11.23,69.06,0.0,22.51,22.69,2.49,8.7,100.93,3.84
2015,11,16,11.72,72.25,0.43,22.33,22.5,2.91,8.58,100.6,4.33
2015,11,17,12.57,87.0,25.69,19.89,20.22,3.21,8.09,100.43,4.64
2015,11,18,10.62,82.06,0.22,18.25,18.8,3.02,7.99,100.49,4.4
